itinerario,endereco,referencia,horario
Caxambu,Av. Jose Mezzalira - Jardim Caxambu - Jundiai ,Usin-Tec,6:08
Caxambu,R. Arcangelo Bianchini - Ivoturucaia - Varzea Paulista ,EE Monsenhor Venerando Nalini,6:12
Caxambu,Av. Cesar Cosin - Ivoturucaia - Varzea Paulista ,Bica d'agua,6:14
Caxambu,R. Itupeva - Jardim America 4 - Varzea Paulista ,Lateral do Cemiterio,6:17
Caxambu,Av. Walter Gossner - Jardim Paulista - Varzea Paulista ,Varejao do Povo,6:19
Caxambu,Av. Pacaembu - Jardim Paulista - Varzea Paulista ,Supermercado Mix 1,6:20
Caxambu,Av. Pacaembu - Jardim Paulista - Varzea Paulista ,Escola Estadual Armando Dias,6:22
Caxambu,Av. Tanabi - Jardim America 3 - Varzea Paulista ,Congregacao Crista no Brasil Jardim Paulista,6:26
Caxambu,Av. Pequeri - Jardim America 3 - Varzea Paulista ,Mineirinho Gas,6:27
Caxambu,R. Tupa - Jardim America 2 - Varzea Paulista ,Varanda Lanches,6:28
Caxambu,R. Nipoa - Jardim America 2 - Varzea Paulista ,Mercado Alianca,6:29
Caxambu,R. Jaboti - Jardim America 2 - Varzea Paulista ,Esq. Com Rua Irere,6:30
Caxambu,R. Irere - Jardim America 2 - Varzea Paulista ,Caixa d'agua,6:31
Caxambu,R. Oros - Jardim America 2 - Varzea Paulista ,Esquina com a Rua Barretos,6:33
Caxambu,R. Barretos -Novo Mundo - Varzea Paulista,Mercado Tradicao,6:34
Caxambu,Av. Mary Baddini Moya Aprillanti - Jardim Novo Mundo - Varzea Paulista ,WE Usinagem,6:35
Caxambu,R. Cacapava - Jardim Novo Mundo - Varzea Paulista ,Star Ultra-Sonica,6:37
Caxambu,R. Barretos - Novo Mundo - Varzea Paulista,Caique Motos,6:38
Caxambu,Av. Paraibuna - Jardim America 1 -Varzea Paulista ,Dinho Supermercados,6:39
Caxambu,Rod. Dom Gabriel Paulino Couto - Distrito Industrial - Jundiai,Nao Tem Ponto ,7:05
Cidade Nova,R. Maraba - Jardim America I - Varzea Paulista,UBS Cidade Nova,6:15
Cidade Nova,R. Maraba - Jardim America I - Varzea Paulista,Portal Da Comida,6:16
Cidade Nova,R. Guaiba - Jardim America I - Varzea Paulista,Tubolar Eletrica e Hidraulica,6:17
Cidade Nova,R. Manduri - Jardim America I - Varzea Paulista,Mercado Guerra,6:18
Cidade Nova,R. Itirapina - Cidade Nova - Varzea Paulista,Mercado Lopes,6:20
Cidade Nova,Avenida Ricardo Aizza - Cidade Nova - Varzea Paulista,Congregacao Crista no Brasil,6:21
Cidade Nova,Avenida Ricardo Aizza - Cidade Nova - Varzea Paulista,Predinhos Abandonado,6:22
Cidade Nova,R. Florindo Zambon - Cidade Nova - Jundiai,Supermercado Flores,6:25
Cidade Nova,R. Alfredo Pizzocaro - Jardim Tamoio - Jundiai,Padaria Belem,6:26
Cidade Nova,R. Adamantina - Jardim Tamoio - Jundiai,Mercado Casao,6:27
Cidade Nova,Av Carlos angelo Mathion - Jardim Tamoio - Jundiai,Speed Chicken Assados,6:28
