itinerario,endereco,referencia,horario
01 - Colina Do Pontal,R. aguas da Prata - Colina Do Pontal - Campo Limpo Pta,KJ Mini Mercado e Padaria,11:55
01 - Colina Do Pontal,R. Bauru - Colina Do Pontal - Campo Limpo Pta,Esquina com a Rua Descalvado,12:00
01 - Colina Do Pontal,R. Borborema - Colina Do Pontal - Campo Limpo Pta,Praca,12:06
01 - Colina Do Pontal,R. Joao Juliao Moreira - Vila Constanca - Campo Limpo Pta,Sorveteira Alegria,12:07
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Emeif Vereador Jose De Souza Charrua,12:08
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Escola de Missoes das Assembleias de Deus,12:09
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Tito,12:10
01 - Colina Do Pontal,Av. Casa Branca - Vila Constanca - Campo Limpo Pta,Esquina com a Rua Visconde de Taunay,12:11
01 - Colina Do Pontal,R. Italia - Jd. Europa - Campo Limpo Pta,Bar da Dalva,12:12
01 - Colina Do Pontal,R. Alemanha - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Holanda,12:13
01 - Colina Do Pontal,R. Suica - Jd. Europa - Campo Limpo Pta,Esquina com a Rua Espanha,12:14
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Deposito de gas,12:16
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Condominio Los Angeles,12:17
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Mello Mercado,12:18
01 - Colina Do Pontal,Av. Antonio Di Gioia - California - Campo Limpo Pta,Lanches Ignes,12:19
01 - Colina Do Pontal,Estr. Bragantina - Sao Jose 1 - Campo Limpo Pta,Padaria Brunella,12:22
01 - Colina Do Pontal,Estr. Bragantina - Jd. Santa Maria - Campo Limpo Pta,Padaria Santa Maria,12:23
01 - Colina Do Pontal,R. Dama da Noite - Pq. Internacional - Campo Limpo Pta,Assembleia de Deus Belem,12:24
01 - Colina Do Pontal,Av. Amazonas - Pq. Internacional - Campo Limpo Pta,Escola Georgina Helena Fortarel,13:25
01 - Colina Do Pontal,Estrada do Garcia - Jd. Marchetti - Campo Limpo Pta,Esquina com a Rua Antenor Tavares,12:27
01 - Colina Do Pontal,Avenida Alfried Krupp - Jd. Europa - Campo Limpo Pta,Hospital de Clinicas,12:30
01 - Colina Do Pontal,Av. dos Emancipadores - Centro - Campo Limpo Pta,Posto de Combustivel BR,12:32
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Lojas Cem,12:34
01 - Colina Do Pontal,R. Primeiro de Dezembro - Jd. Marsola - Campo Limpo Pta,Quadra de Areia,12:37
01 - Colina Do Pontal,Av. Adherbal da Costa Moreira - Centro - Campo Limpo Pta,Deposito Figueira Branca,12:38
01 - Colina Do Pontal,Rua Antonio Farina - Jd. America - Campo Limpo Pta,Deposito Figueira Branca (Lateral),12:39
01 - Colina Do Pontal,Av. Joao Amato - Jd. America - Campo Limpo Pta,So Piso,12:40
01 - Colina Do Pontal,Av. Marginal do Rio Jundiai - Jd. Paulista - Varzea Paulista,J W V Comercio,12:45
01 - Colina Do Pontal,Viaduto Emancipadores - Centro - Varzea Paulista,Sem Ponto,12:47
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Prefeitura de Varzea Paulista,12:50
01 - Colina Do Pontal,Av. Fernao Dias Paes Leme - Centro - Varzea Paulista,Habib's,12:52
